Topic,Count,Percentage,Seconds,KB_Article
TRA-SERVICE: Traffic Signal Maintenance,103,0.05,154.6116505,Streets - KB Team
Taxi Cab Complaint,21,0.01,214.3809524,Code Enforcement - KB Team
Taxi Cab Licensing & Inspections [AF-INQUIRY],1,0,48,Administration and Finance - KB Team
Taxi Company/Operator Complaint,1,0,117,Lucy Macfarlane
Terminate Domestic Service,132,0.07,47.18939394,Water Works - KB Team
Terminate Sprinkler Service,10,0,75.1,Water Works - KB Team
Tire Dumping [CODE-INQUIRY],28,0.01,152.2142857,Code Enforcement - KB Team
Traffic Sign Complaint,93,0.05,158.0107527,Streets - KB Team
Traffic Sign Complaint - Other Signage [TRA-SERVICE],25,0.01,163.6,Streets - KB Team
Traffic Sign Missing,40,0.02,185.775,Streets - KB Team
Traffic Signal Complaint,87,0.04,173.2643678,Streets - KB Team
Traffic Signal Maintenance,74,0.04,160.6891892,Streets - KB Team
Traffic Signal Request,50,0.02,318.72,Engineering - KB Team
Traffic and Lighting,52,0.03,177.4807692,Streets - KB Team
Transfer Call,804,0.4,46.98134328,311 Office
Trash Can Ticket Regulations [CODE-INQUIRY],104,0.05,176.9134615,Code Enforcement - KB Team
Trash Container Replacement Request [SW-REQUEST],369,0.18,131.5257453,Solid Waste - KB Team
Trash Container Request,1524,0.75,126.8562992,Solid Waste - KB Team
Trash Container Request for New Service [SW-REQUEST] ,6,0,95,Solid Waste - KB Team
Trash Credit Request,161,0.08,275.068323,Matt Coats
Trash Obstruction due to Construction [SW-INQUIRY] ,2,0,161.5,Solid Waste - KB Team
Trash Regular Miss,2338,1.15,119.5774166,Matt Coats
Trash Was Not Picked By Customer Error,717,0.35,149.5509066,Solid Waste - KB Team
Tree Health Assessment [FOR-REQUEST],36,0.02,141.0277778,Parks - KB Team
Tree Limbs Hanging Down,58,0.03,174.0862069,Parks - KB Team
Tree Limbs in Tree Lawn Area ,37,0.02,137.8918919,Parks - KB Team
Tree Ownership [FOR-INQUIRY],2,0,136,Parks - KB Team
Tree Payments,1,0,22,Parks - KB Team
Tree Preventative Maintenance [FOR-INQUIRY] ,16,0.01,146.875,Parks - KB Team
Tree Problem on Vacant or Private Property,32,0.02,224.34375,Parks - KB Team
Tree Regulation and Permits,34,0.02,125.4705882,Parks - KB Team
Tree or Limb Blocking Street,54,0.03,140.537037,Parks - KB Team
Tree or Limb Blocking Walk,45,0.02,123.0444444,Parks - KB Team
Unlawful Dumping Prevention [CODE-INQUIRY] ,62,0.03,216,Code Enforcement - KB Team
Unsecured Structure Violations [CODE-INQUIRY] ,22,0.01,195.7727273,Code Enforcement - KB Team
Utility Service Department Hours and Appointments,44,0.02,58.38636364,Water Works - KB Team
Vacant and Abandoned Property [CODE-INQUIRY],10,0,272.9,Code Enforcement - KB Team
Vegetation- Environmental Violation [CODE-SERVICE],34,0.02,200.9705882,Code Enforcement - KB Team
Vehicle Reclaim [CODE-REQUEST],7,0,187.2857143,Code Enforcement - KB Team
Verify Payment [WW-INQUIRY] ,424,0.21,83.72169811,Danielle Fulmer
Verify Water Off,2,0,2564,Water Works - KB Team
WW - Account Discoveries,3,0,61.33333333,Water Works - KB Team
WW - Address Change,17,0.01,51.70588235,Water Works - KB Team
WW - Extension,124,0.06,106.9758065,Water Works - KB Team
WW Customer Inquiry following IVR,538,0.27,70.96282528,Sa- Adoxio
WW-INQUIRY: Account Balance & Due Date,2294,1.13,100.7092415,Danielle Fulmer
WW-INQUIRY: Account Number,409,0.2,87.18826406,Danielle Fulmer
WW-INQUIRY: Auto Pay,329,0.16,125.6808511,Water Works - KB Team
WW-INQUIRY: Chlorine/Bleach Taste or Smell in Water,4,0,223.75,Water Works - KB Team
WW-INQUIRY: Cloudy/Milky Water,1,0,2766,Water Works - KB Team
WW-INQUIRY: Discolored Water (Rusty/Yellow/Brown/Black),32,0.02,174.625,Water Works - KB Team
WW-INQUIRY: Get Copy of Bill,64,0.03,164.359375,Water Works - KB Team
WW-INQUIRY: Hardness/Softener Setting,5,0,259.8,Water Works - KB Team
WW-INQUIRY: High Bill/Consumption,252,0.12,226.3134921,Water Works - KB Team
WW-INQUIRY: Payment Arrangements,1488,0.73,99.32325269,Water Works - KB Team
WW-INQUIRY: Payments,570,0.28,102.8070175,Water Works - KB Team
WW-INQUIRY: Rates & Charges,182,0.09,178.021978,Water Works - KB Team
WW-INQUIRY: Rules & Regulations,25,0.01,95.72,Water Works - KB Team
WW-INQUIRY: Sewer Liens,20,0.01,139,Water Works - KB Team
WW-INQUIRY: Shut-Off Balance and Payment Deadline,6275,3.1,107.4388845,Danielle Fulmer
WW-INQUIRY: Sprinkler Service,55,0.03,168.5818182,Water Works - KB Team
WW-INQUIRY: Starting or Transferring Utility Service,865,0.43,109.7225434,Danielle Fulmer
WW-INQUIRY: Sulfur Smell in Water,15,0.01,310.2,Water Works - KB Team
WW-INQUIRY: Terminating Service,448,0.22,69.31026786,Water Works - KB Team
WW-INQUIRY: Void A Payment,22,0.01,150.7272727,Water Works - KB Team
WW-INQUIRY: Water Service Line Leak Insurance,27,0.01,92.51851852,Water Works - KB Team
WW-INQUIRY: White Deposits from Water,1,0,72,Water Works - KB Team
WWGC - General Concerns,366,0.18,163.3852459,Water Works - KB Team
Water Bill Payment Assistance,857,0.42,37.12368728,Matt Coats
Water Leak Insurance,3,0,129.3333333,Water Works - KB Team
Water Leak Outside/Yard/Street,464,0.23,82.00431034,Water Works - KB Team
Water Miscellaneous,13360,6.6,72.99535928,Matt Coats
Water Quality Inquiries,97,0.05,141.4536082,Water Works - KB Team
Water Rate Increase,3,0,396.6666667,Kheran Joseph
Website Assistance,407,0.2,162.3095823,311 Office
What should I do if I have sand-like particles in my water? [WW-INQUIRY],1,0,25,Water Works - KB Team
Who is my Neighborhood Inspector? [CODE-INQUIRY],102,0.05,132.5,Code Enforcement - KB Team
Wildlife,215,0.11,83.4,Animal Control - KB Team
Yard Waste Container Repair,8,0,74,Solid Waste - KB Team
Yard Waste Container Request,1480,0.73,88.86959459,Matt Coats
Yard Waste Extra Pick-up Miss [SW-INCIDENT],184,0.09,80.02717391,Solid Waste - KB Team
Yard Waste Miss,1,0,58,Matt Coats
Yard Waste Miss [SW-INCIDENT],551,0.27,93.11796733,Danielle Fulmer
Yard Waste Missed,1481,0.73,95.18365969,Solid Waste - KB Team
Yard Waste Tote Pick Up,353,0.17,83.5694051,Solid Waste - KB Team
